gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,beta1,beta2,beta3,beta4,beta5,beta6,depth
-2.1078857709721016e-06,0.0,0.0,0.0,0.0,0.0,-1.0694381262262626e-05,0.0,0.0,0.0,0.0,0.0,1.0
-1.0863763480472543e-06,3.2123802276595146e-06,0.0,0.0,0.0,0.0,1.3359278184039114e-06,3.2840329777636166e-06,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
-1.261576791379681e-07,2.511232406581065e-07,-7.229582408221895e-07,4.71831189019591e-08,0.0,0.0,-1.100839835630248e-06,5.018210416376534e-07,2.028049639461856e-06,1.4357922639554278e-06,0.0,0.0,4.0
3.9622885924899337e-07,-2.202527796615055e-07,-2.330329640386844e-07,7.486794359230105e-07,1.3349022789915844e-08,0.0,-3.6573550939819443e-07,-2.0769292442495666e-07,-2.366260719681083e-07,-4.634306539962675e-07,-4.694136179501842e-07,0.0,5.0
1.273782058124153e-07,4.233325753450675e-07,-3.043238696149428e-07,4.7404574119956773e-07,-1.6084639774714298e-07,4.28194819647181e-07,3.229413651034052e-07,4.418017242847082e-07,-6.749387480799423e-07,5.778377883085907e-07,4.581221631341928e-07,5.480427317496152e-07,6.0
4.804831196789443e-06,0.0,0.0,0.0,0.0,0.0,3.5989885327155795e-06,0.0,0.0,0.0,0.0,0.0,1.0
-6.675976377047948e-08,-1.425599122182114e-08,0.0,0.0,0.0,0.0,-9.63148675230355e-08,-8.518824022795559e-08,0.0,0.0,0.0,0.0,2.0
9.087629675319825e-07,3.988293310464359e-07,4.942793008165988e-07,0.0,0.0,0.0,-4.883904471984052e-07,1.3675538057928604e-06,2.431125152465054e-07,0.0,0.0,0.0,3.0
1.1562832741067612e-06,-3.639766302903444e-07,1.6998634085538235e-07,-3.9089977811976514e-08,0.0,0.0,-4.7051370587457236e-07,-6.23599867531319e-08,-1.5418957984266588e-06,-3.0492462592817153e-06,0.0,0.0,4.0
-1.3909735324766918e-07,-2.0629465443683003e-07,-3.1155556709497037e-07,-2.9066596224475346e-07,2.4465311936281486e-07,0.0,-2.2666757967178626e-07,-1.290484681893286e-07,9.11845869176396e-08,-7.53588392338784e-08,-1.2184215506048926e-07,0.0,5.0
-9.633774461265506e-07,9.613601992919496e-07,1.2969918816236345e-06,-4.3780343913968637e-07,1.0012703475201862e-06,7.495069903966172e-07,-4.3635162313127933e-07,2.2160745739472662e-07,5.42692559643039e-07,1.4785285789619802e-06,-8.900938294524561e-07,5.252824557732231e-08,6.0
2.7882932409328104e-06,0.0,0.0,0.0,0.0,0.0,2.6116023544512792e-06,0.0,0.0,0.0,0.0,0.0,1.0
3.1880353611764794e-07,5.663771655716428e-07,0.0,0.0,0.0,0.0,-1.2176135635667169e-08,-2.868035873155277e-08,0.0,0.0,0.0,0.0,2.0
1.4573820580902024e-06,-2.1320959738727035e-06,-1.5383477279841025e-06,0.0,0.0,0.0,-1.4303935014589023e-06,-2.428970096817004e-07,1.916187520822303e-06,0.0,0.0,0.0,3.0
1.8111025229128185e-07,-4.767277623844922e-07,-1.3498980181694304e-07,-5.103043197128849e-07,0.0,0.0,2.127287014460643e-07,-2.444669776136007e-07,-5.336110116371542e-07,2.9368937103657946e-08,0.0,0.0,4.0
-1.6552489389205396e-06,3.018818121290846e-07,7.514037569119152e-07,4.876397772244161e-07,1.0784029573355537e-06,0.0,2.604459874221576e-07,6.652650455354172e-07,-5.601426882102401e-07,2.471338890673058e-08,2.7842102945040294e-07,0.0,5.0
1.4327263385447435e-06,1.6249478782969254e-07,4.3087872006803397e-07,9.176365942217418e-07,1.6115084600690422e-06,9.332827972174073e-07,1.6505091446495677e-08,1.002942069949965e-06,5.156952773734737e-07,4.5943568914113403e-07,8.810362366873564e-07,4.0170680656074727e-07,6.0
5.919211117871877e-07,0.0,0.0,0.0,0.0,0.0,7.943986458528593e-08,0.0,0.0,0.0,0.0,0.0,1.0
3.125586844197094e-07,-2.0728878531508597e-07,0.0,0.0,0.0,0.0,1.3241093111284949e-06,-1.5366507703363e-06,0.0,0.0,0.0,0.0,2.0
-1.684463919925992e-06,-6.227926921144874e-07,-7.812311486946434e-07,0.0,0.0,0.0,-1.1840367439972208e-06,-5.37428741099649e-07,-4.0374615101832626e-07,0.0,0.0,0.0,3.0
-3.564703413611654e-08,-4.3208526225595805e-08,-8.290635969536195e-08,-1.0370046294142993e-07,0.0,0.0,-2.6735275602087403e-08,-4.266841964777586e-08,-2.8355595335547244e-08,-1.8363623645878217e-08,0.0,0.0,4.0
-4.17182562912427e-07,4.323372107252638e-07,4.722259095758522e-07,4.325630784909851e-07,-2.4003908708614065e-07,0.0,4.853963404589701e-07,-3.14887632961048e-07,-4.72715289734915e-07,-1.5288046259630398e-07,3.050704537112265e-07,0.0,5.0
-2.994927459210916e-09,-5.241119715758367e-08,7.287654112958191e-08,1.1131142676137995e-07,3.893403181099043e-08,9.58376194585355e-08,6.988160894478628e-08,-5.740273722117247e-08,-4.442473522561651e-08,-7.237738370216592e-08,1.407615272866871e-07,-3.643824973228261e-08,6.0
2.375054463651852e-06,0.0,0.0,0.0,0.0,0.0,-2.275318206923927e-06,0.0,0.0,0.0,0.0,0.0,1.0
