gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,beta1,beta2,beta3,beta4,beta5,beta6,depth
2.639868425904638e-07,0.0,0.0,0.0,0.0,0.0,2.2363576252770054e-06,0.0,0.0,0.0,0.0,0.0,1.0
-2.75580500483624e-07,-7.814207673030587e-08,0.0,0.0,0.0,0.0,-2.060677045861391e-07,-9.90299782453557e-08,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
-1.753022037167899e-07,1.2164648849689864e-07,-3.6788630919215024e-08,-3.1018687530754336e-08,0.0,0.0,-1.4899520326980184e-07,3.353710449905612e-07,-5.8463211656913136e-08,2.003181005745577e-07,0.0,0.0,4.0
-6.663543008299317e-07,-3.058372963612602e-07,-2.726339485817565e-07,-2.549919452933933e-07,-6.540047697922492e-07,0.0,-4.564500836292565e-07,-2.3274910824484706e-07,2.9465861244831856e-07,-2.411676685356961e-07,-1.2984559657806586e-06,0.0,5.0
6.970594743685352e-07,3.682962620418593e-07,2.640348058945345e-07,2.977812024619752e-07,4.951891101920512e-07,-4.91112665014405e-07,1.1854115249551513e-07,4.0323818488771417e-07,1.9958693896824832e-07,5.8298401169795764e-08,1.1530324890305409e-06,5.467168143579246e-07,6.0
8.747052065985405e-10,0.0,0.0,0.0,0.0,0.0,-1.2404910202670215e-09,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5.207299523621939e-07,4.7625866967058613e-07,5.123155291115104e-07,0.0,0.0,0.0,-1.0737979161968209e-07,-2.655369416239672e-09,4.255681578314366e-07,0.0,0.0,0.0,3.0
2.331647548189941e-07,3.761044652323697e-07,1.770841762824441e-07,1.219267067960039e-07,0.0,0.0,4.3193947098691874e-08,2.926719329801582e-07,3.872793007763455e-08,2.620315136350008e-07,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6.953378330413173e-08,7.274345600243839e-09,1.738759338390907e-08,2.8797826186724057e-08,-1.7894225851394565e-08,6.310121997321628e-08,-2.8818337745675157e-08,-6.95594227528206e-08,-3.985556485475957e-08,-8.248698901322318e-09,2.1460739347335696e-08,1.0520640502696174e-07,6.0
3.344555185416033e-07,0.0,0.0,0.0,0.0,0.0,6.779244516400117e-06,0.0,0.0,0.0,0.0,0.0,1.0
-4.818915260122428e-07,8.605205821647192e-07,0.0,0.0,0.0,0.0,-6.230169014872567e-06,-4.164919617677241e-06,0.0,0.0,0.0,0.0,2.0
2.202463142706465e-25,-3.444878248848573e-25,-1.4683087618043098e-25,0.0,0.0,0.0,4.57434652715958e-25,6.7768096698660455e-25,-3.3319314210174723e-25,0.0,0.0,0.0,3.0
-3.125463355346688e-09,-1.0153602939512461e-07,7.0055704234554494e-09,-2.9554424331520553e-08,0.0,0.0,-2.0490473358263843e-08,9.588082318600605e-09,-3.9933697916992606e-08,1.0131725038055188e-08,0.0,0.0,4.0
1.12721688928649e-08,1.4933594490390783e-08,1.1833394577040266e-08,4.6270798169881206e-09,-4.744191933512216e-09,0.0,1.1828530287478182e-08,5.100451828378971e-10,8.385781841463189e-09,1.4575907930713441e-08,6.203324502102196e-09,0.0,5.0
-1.047672548590648e-06,6.511575909643263e-07,6.002290642967253e-07,-1.81887595241432e-08,8.25769682396101e-07,6.766218542981268e-07,1.4551007619314558e-07,5.383872819146385e-07,-5.092852666760094e-08,2.982956561959484e-07,5.4566278572429594e-08,1.81887595241432e-07,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.388712670447817e-08,-1.0616964473535518e-06,0.0,0.0,0.0,0.0,-3.145767251417932e-07,-2.175822348897403e-07,0.0,0.0,0.0,0.0,2.0
1.2259947101883683e-06,-9.605731749929484e-07,1.6430856940668855e-06,0.0,0.0,0.0,-3.134501939450674e-06,-2.553102386165468e-06,2.0980940401161768e-06,0.0,0.0,0.0,3.0
1.951823329663556e-07,1.0612295667015302e-08,1.755731383512578e-07,1.1573288269757489e-07,0.0,0.0,-1.2904536737262164e-08,1.7943168218151477e-07,6.444321840830744e-08,4.059904398578357e-08,0.0,0.0,4.0
-4.0655778857131074e-08,-1.4568320757138636e-08,7.419679641426421e-08,5.183611804284213e-08,-4.0655778857131074e-08,0.0,-4.70929438428435e-08,3.1508228614276585e-08,-4.065577885713108e-09,-5.522409961426972e-08,-1.3890724442853116e-08,0.0,5.0
-8.094990182660426e-12,-5.63387595130213e-13,-9.725849010668938e-12,-1.0229932648417023e-11,-1.2750350837157448e-12,-5.9007437595217026e-12,-1.0911928158311487e-11,-9.577589117213619e-12,-4.151277016748937e-12,-6.49378333334298e-12,-4.625708675805958e-12,-4.477448782350639e-12,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
-2.5855566760593985e-07,3.986374180380968e-07,-5.257857960565516e-07,0.0,0.0,0.0,-4.844253737501252e-08,-1.3010502015140582e-07,2.286441681143393e-07,0.0,0.0,0.0,3.0
1.5371444570913288e-07,1.4811503283823628e-07,3.0457486008081984e-07,-9.522571201620809e-08,0.0,0.0,7.43856360850664e-09,-3.041876364466719e-07,1.7921311863909637e-07,4.46289343633935e-08,0.0,0.0,4.0
4.5234904176812215e-08,1.756124530855281e-09,-8.52004103947653e-08,-1.8445853728276716e-08,-7.027148581662543e-09,0.0,-2.4594365778559306e-08,4.6552685858366376e-08,-1.2296892771553229e-08,2.635045926801176e-08,7.02682742253329e-08,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
5.632915814319411e-05,0.0,0.0,0.0,0.0,0.0,1.0452884549281131e-05,0.0,0.0,0.0,0.0,0.0,1.0
